School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
John Bartram High School,101,HS,High School,2401 S. 67th St.,Philadelphia,PA,19142,215-492-6450,215-492-6117,District,N/A,710,www.bartramhigh.net,'9-12',Neighborhood,2,Neighborhood Network 1,Neighborhood Network 1,,9,INTERVENE,71st out of 83,13th out of 20,4,INTERVENE,52nd out of 79,6th out of 20,17,INTERVENE,66th out of 83,13th out of 20,5,INTERVENE,83rd out of 84,20th out of 21,3,INTERVENE,75th out of 77,18th out of 19,1,408,0,8,0,INTERVENE,0,408,0,1.5,0,INTERVENE,2,273,0,8,0,INTERVENE,0,273,0,1.5,0,INTERVENE,13,250,0,8,0,INTERVENE,0,250,0,1.5,0,INTERVENE,26,43,1.06,1.5,71,REINFORCE,-9.56,0,6.5,0,INTERVENE,-2.26,0,6.5,0,INTERVENE,-7.04,0,6.5,0,INTERVENE,77,287,1.87,8,23,INTERVENE,61,106,2.56,6,43,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.18,.41,1.5,27,WATCH,2.08,1.5,1.5,100,MODEL,-3.09,0,1.5,0,INTERVENE,13,896,0,8,0,INTERVENE,14,896,13,896,9,896,51,896,67,678,0,6,0,INTERVENE,100,896,.5,.5,100,MODEL,63,896,0,2.5,0,INTERVENE,53,.53,1,53,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,54,239,0,4.5,0,INTERVENE,21,150,0,1.5,0,INTERVENE,5,148,0,1,0,INTERVENE,11,148,84,148,0,148,0,1,0,INTERVENE,43,148,57,148,28,148,.05,1,5,INTERVENE,22,.22,1,22,INTERVENE,7,10,56,45
West Philadelphia High School,102,HS,High School,4901 Chestnut St.,Philadelphia,PA,19139,215-471-2902,215-471-6402,District,Promise Academy,535,www.philasd.org/schools/westphila,'9-12',Neighborhood,2,Turnaround Network,Turnaround Network,,14,INTERVENE,63rd out of 83,11th out of 20,0,INTERVENE,67th out of 79,11th out of 20,24,INTERVENE,49th out of 83,9th out of 20,15,INTERVENE,67th out of 84,13th out of 21,10,INTERVENE,58th out of 77,13th out of 19,4,270,0,8,0,INTERVENE,0,270,0,1.5,0,INTERVENE,4,259,0,8,0,INTERVENE,0,259,0,1.5,0,INTERVENE,20,166,.05,8,1,INTERVENE,1,166,.04,1.5,2,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-1.27,0,6.5,0,INTERVENE,-3.42,0,6.5,0,INTERVENE,.2,2.6,6.5,40,WATCH,74,247,.98,8,12,INTERVENE,54,76,1.67,6,28,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.31,1.5,1.5,100,MODEL,2.12,1.5,1.5,100,MODEL,.47,.74,1.5,49,WATCH,13,603,0,8,0,INTERVENE,19,603,12,603,11,603,45,603,69,519,0,6,0,INTERVENE,100,603,.5,.5,100,MODEL,79,603,.72,2.5,29,WATCH,62,.62,1,62,REINFORCE,81,.81,1,81,MODEL,27,.41,1,41,WATCH,53,156,0,4.5,0,INTERVENE,41,91,.43,1.5,28,WATCH,8,90,0,1,0,INTERVENE,42,90,50,90,0,90,0,1,0,INTERVENE,54,90,46,90,40,90,.3,1,30,WATCH,31,.31,1,31,WATCH,9,40,65,44
High School of the Future,103,HS,High School,4021 Parkside Ave.,Philadelphia,PA,19104,215-823-5500,215-823-5504,District,N/A,518,www.philasd.org/schools/hsof,'9-12',Citywide,2,Neighborhood Network 2,Neighborhood Network 2,,24,INTERVENE,49th out of 83,6th out of 20,2,INTERVENE,56th out of 79,7th out of 20,24,INTERVENE,48th out of 83,8th out of 20,53,REINFORCE,44th out of 84,5th out of 21,29,WATCH,45th out of 77,8th out of 19,5,266,0,8,0,INTERVENE,0,266,0,1.5,0,INTERVENE,10,261,0,8,0,INTERVENE,1,261,.07,1.5,5,INTERVENE,26,139,.59,8,7,INTERVENE,0,139,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.26,0,6.5,0,INTERVENE,-3.45,0,6.5,0,INTERVENE,-2.95,0,6.5,0,INTERVENE,92,318,5.74,8,72,REINFORCE,60,45,2.4,6,40,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.11,.56,1.5,37,WATCH,.06,.53,1.5,35,WATCH,-2.65,0,1.5,0,INTERVENE,35,520,2.46,8,31,WATCH,30,520,16,520,7,520,12,520,86,509,6,6,100,MODEL,100,520,.49,.5,98,MODEL,82,520,.96,2.5,38,WATCH,63,.63,1,63,REINFORCE,0,0,1,0,INTERVENE,6,0,1,0,INTERVENE,83,101,1.47,4.5,33,WATCH,49,94,.65,1.5,44,WATCH,0,119,0,1,0,INTERVENE,31,119,69,119,1,119,0,1,0,INTERVENE,66,119,34,119,50,119,.49,1,49,WATCH,27,.27,1,27,WATCH,0,0,53,46
Paul Robeson High School for Human Services,105,HS,High School,4125 Ludlow St.,Philadelphia,PA,19104,215-823-8207,215-823-8252,District,N/A,293,www.philasd.org/schools/robeson,'9-12',Citywide,2,Neighborhood Network 2,Neighborhood Network 2,,49,WATCH,20th out of 83,2nd out of 20,6,INTERVENE,41st out of 79,4th out of 20,76,MODEL,8th out of 83,2nd out of 20,65,REINFORCE,30th out of 84,3rd out of 21,55,REINFORCE,19th out of 77,1st out of 19,7,202,0,8,0,INTERVENE,1,202,.06,1.5,4,INTERVENE,19,199,0,8,0,INTERVENE,2,199,.09,1.5,6,INTERVENE,35,125,1.52,8,19,INTERVENE,0,125,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.04,2.25,6.5,35,WATCH,4.33,6.5,6.5,100,MODEL,3.77,6.5,6.5,100,MODEL,91,189,5.6,8,70,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.11,1.5,1.5,100,MODEL,3.7,1.5,1.5,100,MODEL,.15,.58,1.5,38,WATCH,35,309,2.44,8,31,WATCH,28,309,15,309,11,309,11,309,91,282,6,6,100,MODEL,100,309,.5,.5,100,MODEL,97,309,2.23,2.5,89,MODEL,65,.65,1,65,REINFORCE,94,.94,1,94,MODEL,20,.25,1,25,WATCH,95,73,3.51,4.5,78,MODEL,52,71,.74,1.5,49,WATCH,23,70,.32,1,32,WATCH,19,70,59,70,0,70,0,1,0,INTERVENE,69,70,31,70,51,70,.53,1,53,REINFORCE,38,.38,1,38,WATCH,15,18,76,56
William L. Sayre High School,110,HS,High School,5800 Walnut St.,Philadelphia,PA,19139,215-471-2904,215-471-3486,District,N/A,509,www.philasd.org/schools/sayre,'9-12',Neighborhood,2,Neighborhood Network 2,Neighborhood Network 2,,8,INTERVENE,74th out of 83,16th out of 20,0,INTERVENE,75th out of 79,16th out of 20,13,INTERVENE,69th out of 83,14th out of 20,12,INTERVENE,71st out of 84,15th out of 21,3,INTERVENE,74th out of 77,17th out of 19,2,257,0,8,0,INTERVENE,0,257,0,1.5,0,INTERVENE,2,172,0,8,0,INTERVENE,1,172,.03,1.5,2,INTERVENE,13,160,0,8,0,INTERVENE,0,160,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.69,0,6.5,0,INTERVENE,-4.67,0,6.5,0,INTERVENE,-4.56,0,6.5,0,INTERVENE,71,202,.21,8,3,INTERVENE,59,76,2.31,6,38,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.42,1.21,1.5,81,MODEL,1.78,1.39,1.5,93,MODEL,-1.26,0,1.5,0,INTERVENE,12,661,0,8,0,INTERVENE,14,661,13,661,11,661,50,661,68,483,0,6,0,INTERVENE,100,661,.5,.5,100,MODEL,87,661,1.42,2.5,57,REINFORCE,56,.56,1,56,REINFORCE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,53,151,0,4.5,0,INTERVENE,19,97,0,1.5,0,INTERVENE,0,91,0,1,0,INTERVENE,0,91,100,91,0,91,0,1,0,INTERVENE,43,91,57,91,18,91,0,1,0,INTERVENE,29,.29,1,29,WATCH,4,6,57,46
Motivation High School,119,HS,High School,5900 Baltimore Ave.,Philadelphia,PA,19143,215-471-2906,215-471-8172,District,N/A,340,www.philasd.org/schools/motivation,'9-12',Special Admit,3,Autonomy Network,Autonomy Network,,30,WATCH,43rd out of 83,14th out of 22,10,INTERVENE,27th out of 79,4th out of 19,25,WATCH,46th out of 83,16th out of 22,57,REINFORCE,39th out of 84,13th out of 21,50,REINFORCE,26th out of 77,8th out of 20,11,216,0,8,0,INTERVENE,1,216,.06,1.5,4,INTERVENE,12,209,0,8,0,INTERVENE,0,209,0,1.5,0,INTERVENE,35,134,1.51,8,19,INTERVENE,0,134,0,1.5,0,INTERVENE,69,26,1.5,1.5,100,MODEL,-4.39,0,6.5,0,INTERVENE,-3.21,0,6.5,0,INTERVENE,-.69,.67,6.5,10,INTERVENE,90,236,5.4,8,68,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.76,.88,1.5,59,REINFORCE,.82,.91,1.5,61,REINFORCE,-1.81,0,1.5,0,INTERVENE,37,363,2.71,8,34,WATCH,27,363,16,363,8,363,12,363,84,334,5.66,6,94,MODEL,100,363,.5,.5,100,MODEL,93,363,1.93,2.5,77,MODEL,58,.58,1,58,REINFORCE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,92,73,3.02,4.5,67,REINFORCE,64,66,1.05,1.5,70,REINFORCE,0,65,0,1,0,INTERVENE,95,65,5,65,3,65,0,1,0,INTERVENE,88,65,9,65,60,65,.7,1,70,REINFORCE,26,.26,1,26,WATCH,0,0,82,39
South Philadelphia High School,200,HS,High School,2101 S. Broad St.,Philadelphia,PA,19148,215-400-8400,215-400-8401,District,N/A,703,www.philasd.org/schools/southphila,'9-12',Neighborhood,4,Neighborhood Network 1,Neighborhood Network 1,,6,INTERVENE,81st out of 83,19th out of 19,3,INTERVENE,53rd out of 79,16th out of 19,6,INTERVENE,79th out of 83,19th out of 19,9,INTERVENE,77th out of 84,20th out of 20,5,INTERVENE,68th out of 77,18th out of 18,5,286,0,8,0,INTERVENE,0,286,.02,1.5,1,INTERVENE,4,154,0,8,0,INTERVENE,0,154,0,1.5,0,INTERVENE,14,139,0,8,0,INTERVENE,1,139,.04,1.5,3,INTERVENE,24,129,.9,1.5,60,REINFORCE,-5.94,0,6.5,0,INTERVENE,-8.2,0,6.5,0,INTERVENE,-8.66,0,6.5,0,INTERVENE,68,264,0,8,0,INTERVENE,47,97,.89,6,15,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.4,1.2,1.5,80,MODEL,-1.44,0,1.5,0,INTERVENE,-2.91,0,1.5,0,INTERVENE,18,859,0,8,0,INTERVENE,15,859,12,859,10,859,45,859,68,689,0,6,0,INTERVENE,100,859,.5,.5,100,MODEL,80,859,.83,2.5,33,WATCH,56,.56,1,56,REINFORCE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,50,241,0,4.5,0,INTERVENE,26,135,.03,1.5,2,INTERVENE,20,164,.24,1,24,INTERVENE,19,164,62,164,2,164,0,1,0,INTERVENE,34,164,65,164,24,164,0,1,0,INTERVENE,28,.28,1,28,WATCH,4,7,63,47
Benjamin Franklin High School,201,HS,High School,550 N. Broad St.,Philadelphia,PA,19130,215-299-4662,215-299-7285,District,N/A,641,www.philasd.org/schools/benfranklin,'9-12',Neighborhood,1,Neighborhood Network 3,Neighborhood Network 3,,7,INTERVENE,78th out of 83,11th out of 12,5,INTERVENE,47th out of 79,4th out of 12,7,INTERVENE,75th out of 83,12th out of 12,12,INTERVENE,73rd out of 84,9th out of 12,5,INTERVENE,70th out of 77,9th out of 11,3,263,0,8,0,INTERVENE,0,263,.02,1.5,2,INTERVENE,3,157,0,8,0,INTERVENE,0,157,0,1.5,0,INTERVENE,13,120,0,8,0,INTERVENE,0,120,0,1.5,0,INTERVENE,33,51,1.5,1.5,100,MODEL,-4.28,0,6.5,0,INTERVENE,-2.21,0,6.5,0,INTERVENE,-3.9,0,6.5,0,INTERVENE,63,186,0,8,0,INTERVENE,44,109,.48,6,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.23,.62,1.5,41,WATCH,1.41,1.21,1.5,80,MODEL,-.1,.45,1.5,30,WATCH,11,800,0,8,0,INTERVENE,12,800,13,800,11,800,53,800,59,615,0,6,0,INTERVENE,100,800,.5,.5,100,MODEL,86,800,1.31,2.5,53,REINFORCE,56,.56,1,56,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,52,213,0,4.5,0,INTERVENE,29,126,.1,1.5,6,INTERVENE,0,127,0,1,0,INTERVENE,6,127,94,127,1,127,0,1,0,INTERVENE,44,127,55,127,29,127,.08,1,8,INTERVENE,28,.28,1,28,WATCH,3,0,58,42
High School for Creative and Performing Arts School,202,HS,High School,901 S. Broad St.,Philadelphia,PA,19147,215-952-2462,215-952-6472,District,N/A,709,www.philasd.org/schools/capa,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,43,WATCH,23rd out of 83,7th out of 19,33,WATCH,13th out of 79,6th out of 19,30,WATCH,38th out of 83,10th out of 19,65,REINFORCE,31st out of 84,8th out of 20,70,REINFORCE,8th out of 77,2nd out of 18,38,258,1.76,8,22,INTERVENE,5,258,.3,1.5,20,INTERVENE,35,217,1.5,8,19,INTERVENE,8,217,.47,1.5,31,WATCH,71,182,5.14,8,64,REINFORCE,3,182,.2,1.5,13,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-8.21,0,6.5,0,INTERVENE,-8.36,0,6.5,0,INTERVENE,-.29,1.54,6.5,24,INTERVENE,98,509,7.48,8,93,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.05,0,1.5,0,INTERVENE,-1,0,1.5,0,INTERVENE,.15,.58,1.5,38,WATCH,46,713,4.14,8,52,REINFORCE,32,713,12,713,5,713,5,713,96,704,6,6,100,MODEL,100,713,.5,.5,100,MODEL,98,713,2.36,2.5,94,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,97,171,3.97,4.5,88,MODEL,75,166,1.37,1.5,91,MODEL,27,170,.43,1,43,WATCH,22,170,51,170,25,170,.38,1,38,WATCH,66,170,8,170,69,170,.88,1,88,MODEL,0,0,1,0,INTERVENE,29,27,66,0
Julia R. Masterman School,214,HS,High School,1699 Spring Garden St.,Philadelphia,PA,19130,215-299-4661,215-299-3425,District,N/A,436,www.philasd.org/schools/masterman,'9-12',Special Admit,5,Autonomy Network,Autonomy Network,,78,MODEL,3rd out of 83,3rd out of 10,100,MODEL,1st out of 79,1st out of 10,51,REINFORCE,20th out of 83,6th out of 10,93,MODEL,2nd out of 84,1st out of 10,91,MODEL,1st out of 77,1st out of 9,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,100,110,8,8,100,MODEL,88,110,1.5,1.5,100,MODEL,100,108,8,8,100,MODEL,33,108,1.5,1.5,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.13,0,6.5,0,INTERVENE,2.31,6.5,6.5,100,MODEL,-2.16,0,6.5,0,INTERVENE,100,327,7.92,8,99,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.14,0,1.5,0,INTERVENE,.18,.59,1.5,39,WATCH,1.5,1.25,1.5,83,MODEL,83,436,8,8,100,MODEL,13,436,3,436,1,436,0,436,100,432,6,6,100,MODEL,100,436,.5,.5,100,MODEL,100,436,2.48,2.5,99,MODEL,68,.68,1,68,REINFORCE,82,.82,1,82,MODEL,13,.08,1,8,INTERVENE,100,106,4.5,4.5,100,MODEL,86,106,1.5,1.5,100,MODEL,82,106,1,1,100,MODEL,9,106,8,106,98,106,1,1,100,MODEL,1,106,1,106,85,106,1,1,100,MODEL,15,.15,1,15,INTERVENE,50,73,79,57
